playerId,displayName,id,name
598969,Ty Montgomery,12261,"Montgomery, Ty"
974627,Eno Benjamin,14801,"Benjamin, Eno"
1054229,Isaiah Coulter,14972,"Coulter, Isaiah"
975387,Isaiah Hodgins,14849,"Hodgins, Isaiah"
790004,Austin Ekeler,13404,"Ekeler, Austin"
787757,Chad Williams,13280,"Williams, Chad"
230925,Greg Olsen,8687,"Olsen, Greg"
542809,Tyler Bray,11170,"Bray, Tyler"
557210,Keenan Allen,11222,"Allen, Keenan"
838179,Tim Patrick,13377,"Patrick, Tim"
821297,David Blough,14070,"Blough, David"
403189,Nick Foles,10699,"Foles, Nick"
653699,Michael Thomas,12652,"Thomas, Michael"
946101,Tony Jones Jr.,14828,"Jones, Tony"
920756,Devin Duvernay,14847,"Duvernay, Devin"
824541,Cam Sims,13895,"Sims, Cam"
828766,Artavis Scott,13161,"Scott, Artavis"
652520,Alex Erickson,12913,"Erickson, Alex"
884315,Alex Bachman,14548,"Bachman, Alex"
602461,Tyler Ervin,12639,"Ervin, Tyler"
696080,Tevin Coleman,12152,"Coleman, Tevin"
653107,Chad Kelly,13121,"Kelly, Chad"
508968,Tyler Eifert,11250,"Eifert, Tyler"
922994,Antonio Gandy-Golden,14863,"Gandy-Golden, Antonio"
891115,Diontae Johnson,14208,"Johnson, Diontae"
886740,Deontay Burnett,13648,"Burnett, Deontay"
610943,Ben Koyack,12209,"Koyack, Ben"
469472,Kyle Rudolph,10312,"Rudolph, Kyle"
324970,Kyle Nelson,11128,"Nelson, Kyle"
838603,Emmanuel Butler,14313,"Butler, Emmanuel"
910406,Bryan Edwards,14844,"Edwards, Bryan"
469509,Josh Hill,11529,"Hill, Josh"
878935,Penny Hart,14316,"Hart, Penny"
746577,Chad Beebe,13999,"Beebe, Chad"
752015,Da'Mari Scott,13990,"Scott, Da'Mari"
508924,Lamar Miller,10708,"Miller, Lamar"
382555,Nick Bellore,10514,"Bellore, Nick"
884956,Cameron Scarlett,15044,"Scarlett, Cameron"
605423,Nick O'Leary,12207,"O'Leary, Nick"
606488,Nick Vannett,12680,"Vannett, Nick"
746191,Andre Patton,14365,"Patton, Andre"
450794,Robert Griffin III,10696,"Griffin III, Robert"
599006,Marqise Lee,11672,"Lee, Marqise"
702808,Mack Hollins,13289,"Hollins, Mack"
512431,David Fales,11835,"Fales, David"
691645,Trey Edmunds,13452,"Edmunds, Trey"
614302,Tevin Jones,12890,"Jones, Tevin"
916610,Brandon Zylstra,13585,"Zylstra, Brandon"
1107034,Brandon Aiyuk,14840,"Aiyuk, Brandon"
542788,Trey Burton,11705,"Burton, Trey"
213957,Aaron Rodgers,7836,"Rodgers, Aaron"
552926,Cameron Brate,12110,"Brate, Cameron"
741447,Tim Boyle,13873,"Boyle, Tim"
540997,Allen Hurns,11925,"Hurns, Allen"
880022,Kirk Merritt,15046,"Merritt, Kirk"
263758,Danny Amendola,9308,"Amendola, Danny"
607678,Maurice Harris,12917,"Harris, Maurice"
611417,Davante Adams,11675,"Adams, Davante"
837958,Allen Lazard,13632,"Lazard, Allen"
1050926,Alexander Hollins,14554,"Hollins, Alexander"
468655,T.Y. Hilton,10729,"Hilton, T.Y."
494493,Matt Barkley,11151,"Barkley, Matt"
556294,James White,11747,"White, James"
609050,Cody Latimer,11758,"Latimer, Cody"
922092,Jordan Thomas,13819,"Thomas, Jordan"
