mfl_id,mfl_name,first_last,standard_name,pos,team,draft_year,college,stats_id,sportsdata_id,espn_id,cbs_id,nfl_id
14329,"White Jr., Reggie",Reggie White Jr.,reggie white,WR,FA,2019,Monmouth,32244,adcd3d89-a2f8-4bd1-adfe-8e47bf42ea4d,,3116826,
14330,"Shepherd, Darrius",Darrius Shepherd,darrius shepherd,WR,FA,2019,North Dakota State,32378,4bfd6f35-f0ac-4c43-a023-f8236df31deb,,3116850,
14331,"Johnson, D'Ernest",D'Ernest Johnson,dernest johnson,RB,CLE,2019,South Florida,32608,f46e812f-14c6-4af8-9316-01a880adebc5,,3117165,
14332,"Conrad, C.J.",C.J. Conrad,cj conrad,TE,FA,2019,Kentucky,32352,16551ae2-a27c-4c2d-aa48-0fce4fde68a8,,2180481,
14333,"Hills, Wes",Wes Hills,wes hills,RB,FA,2019,Slippery Rock,32473,14e3c57f-0eb2-49b5-9e94-10a4a54990cf,,2132445,
14336,"Johnson, Jon'Vea",Jon'Vea Johnson,jonvea johnson,WR,DAL,2019,Toledo,32200,bc67a9f0-8c96-4114-8b46-4c97fdd577d1,,2136691,
14337,"Guyton, Jalen",Jalen Guyton,jalen guyton,WR,LAC,2019,North Texas,32201,ae9495b2-4c62-4e14-8e43-beb53e1ae28a,,2186663,
14338,"Hilliman, Jon",Jon Hilliman,jon hilliman,RB,FA,2019,Rutgers,32238,6d882a8b-c34f-4de1-89d2-8ee71628e039,,3116824,
14339,"Grayson, Cyril",Cyril Grayson,cyril grayson,WR,FA,2017,Louisiana State,30111,a138f20f-8a41-4d0e-930a-a16b6cb597b3,,,
14341,"Parham, Donald",Donald Parham,donald parham,TE,LAC,2019,Stetson University,32456,4f246e92-3d21-450f-977a-dc16892c7238,,2183713,
14342,"Blake, Christian",Christian Blake,christian blake,WR,ATL,2018,Northern Illinois,,d90a2ae8-cbd6-40cd-a545-3501c93c0822,,,
14344,"Dolegala, Jacob",Jacob Dolegala,jacob dolegala,QB,NE,2019,Central Connecticut State,32464,751d6fe8-85d9-4caa-bcca-493155dbff6b,,3117019,
14348,"Hyman, Ishmael",Ishmael Hyman,ishmael hyman,WR,CAR,2019,James Madison,31832,634dcf96-92ca-474a-8a09-e26a12a7bafa,,3116376,
14350,"Chunn, Jordan",Jordan Chunn,jordan chunn,RB,NYG,2018,Troy,31280,ddd1fbb3-4db8-4d77-b522-9efd938ec8c5,,,
14352,"Brown, Fred",Fred Brown,fred brown,WR,FA,2017,Mississippi State,30901,1eaede88-f9fd-497d-93bf-2849948c993c,,,
14356,"Keizer, Nick",Nick Keizer,nick keizer,TE,KC,2018,Grand Valley State,31427,cafbcd5f-8b40-444e-baec-a48f49d8c5f0,,,
14358,"Browning, Jake",Jake Browning,jake browning,QB,MIN,2019,Washington,32138,f2f29019-7306-4b1c-a9d8-e9f802cb06e0,,2180355,
14359,"Johnson, Jakob",Jakob Johnson,jakob johnson,RB,NE,2019,Tennessee,31826,12b701c8-7f40-4437-aeef-782fd1d25f2e,,3114047,
14363,"Rader, Kevin",Kevin Rader,kevin rader,TE,PIT,2018,Youngstown State,31441,1ea6e870-84ff-44ba-8302-f0f08623fa26,,,
14365,"Patton, Andre",Andre Patton,andre patton,WR,FA,2017,Rutgers,30430,ff05729b-558a-494c-b075-abdacb639279,,,
14367,"Helm, Daniel",Daniel Helm,daniel helm,TE,FA,2019,Duke,32543,7f48c754-002d-4d0c-ba40-8c402f95a7c4,,2131632,
14368,"Walter, Austin",Austin Walter,austin walter,RB,SF,2019,Rice,32383,e25b6e0d-efa3-4425-bab6-5f846b902195,,3116876,
14370,"Hudson, Tanner",Tanner Hudson,tanner hudson,TE,TB,2018,Southern Arkansas,31257,2fa75e05-cac4-4b40-8924-dbc9ae0c959c,,,
14372,"Holtz, J.P.",J.P. Holtz,jp holtz,TE,CHI,2016,Pittsburgh,,8d3ac8d8-e18f-4485-acc6-55c79adcc2a8,,,
14373,"Willis, Damion",Damion Willis,damion willis,WR,FA,2019,Troy,32471,967a20b1-e334-4ebb-a1b5-f46111ab7325,,3117021,
14420,"Ingold, Alec",Alec Ingold,alec ingold,RB,LVR,2019,Wisconsin,32344,7ade135c-0760-4548-b7d9-cf1174e2be33,,2183930,
14435,"Bonnafon, Reggie",Reggie Bonnafon,reggie bonnafon,RB,CAR,2019,,31302,2d16fcef-89b8-4a92-844f-a92c4e20b5c9,,,
14440,"Walker, Michael",Michael Walker,michael walker,WR,FA,2019,Boston College,32101,019f8019-2a29-4131-b6fb-ea32568c1fc8,,3117047,
14450,"Davis, Felton",Felton Davis,felton davis,WR,FA,2019,Michigan State,32356,c64e0229-181c-4a4d-9994-4501b09cd646,,2186422,
14458,"Cox, Jeremy",Jeremy Cox,jeremy cox,RB,DEN,2019,Old Dominion,32541,3eb32502-2ecd-44b9-978e-33473fdd8354,,3117060,
