playerid,player,id,name
972721,N'Keal Harry,14101,"Harry, N'Keal"
35607,Devontae Booker,12629,"Booker, Devontae"
982202,Dawson Knox,14143,"Knox, Dawson"
1001683,Jalen Guyton,14337,"Guyton, Jalen"
1247803,D'Ernest Johnson,14331,"Johnson, D'Ernest"
1844641,John Hightower,14969,"Hightower, John"
1844489,Michael Pittman,14842,"Pittman, Michael"
21607,Michael Burton,12325,"Burton, Michael"
982233,Myles Gaskin,14081,"Gaskin, Myles"
982144,Dexter Williams,14074,"Williams, Dexter"
35508,Will Fuller,12647,"Fuller, Will"
328333,Ray-Ray McCloud,13641,"McCloud, Ray-Ray"
1844428,Denzel Mims,14846,"Mims, Denzel"
21551,Breshad Perriman,12197,"Perriman, Breshad"
1844245,Quintez Cephus,14850,"Cephus, Quintez"
21708,Nelson Agholor,12181,"Agholor, Nelson"
37962,River Cracraft,13862,"Cracraft, River"
982543,Olamide Zaccheaus,14592,"Zaccheaus, Olamide"
1844157,Donovan Peoples-Jones,14857,"Peoples-Jones, Donovan"
509432,Khadarel Hodge,13963,"Hodge, KhaDarel"
1849698,Henry Ruggs,14834,"Ruggs, Henry"
1844218,Darnell Mooney,14974,"Mooney, Darnell"
328462,Keke Coutee,13662,"Coutee, Keke"
1844522,Laviska Shenault,14838,"Shenault, Laviska"
328153,Dontrell Hilliard,13871,"Hilliard, Dontrell"
35482,Kenyan Drake,12630,"Drake, Kenyan"
35682,Troymaine Pope,12929,"Pope, Troymaine"
1844865,Clyde Edwards-Helaire,14803,"Edwards-Helaire, Clyde"
37015,Kareem Hunt,13138,"Hunt, Kareem"
328426,Trenton Cannon,13816,"Cannon, Trenton"
36998,Alvin Kamara,13132,"Kamara, Alvin"
328579,Bo Scarbrough,13615,"Scarbrough, Bo"
328794,Ronald Jones,13606,"Jones, Ronald"
16585,Vance McDonald,11257,"McDonald, Vance"
1844837,Albert Okwuegbunam,14873,"Okwuegbunam, Albert"
328583,Dalton Schultz,13772,"Schultz, Dalton"
12897,A.J. Green,10261,"Green, A.J."
1844771,Juwan Johnson,14861,"Johnson, Juwan"
328582,Michael Gallup,13646,"Gallup, Michael"
1844363,Tua Tagovailoa,14778,"Tagovailoa, Tua"
328423,Sam Darnold,13592,"Darnold, Sam"
35457,Dwayne Washington,12845,"Washington, Dwayne"
982844,Kaden Smith,14142,"Smith, Kaden"
13123,Lee Smith,10398,"Smith, Lee"
982176,Irv Smith,14141,"Smith Jr., Irv"
35491,D.J. Foster,12871,"Foster, D.J."
13560,Russell Wilson,10703,"Wilson, Russell"
21555,Maxx Williams,12206,"Williams, Maxx"
328586,Cedrick Wilson,13652,"Wilson, Cedrick"
36851,James Conner,13146,"Conner, James"
18114,Teddy Bridgewater,11640,"Bridgewater, Teddy"
328522,DJ Chark,13668,"Chark, D.J."
2185293,Gabe Nabers,15096,"Nabers, Gabe"
1849808,Salvon Ahmed,14811,"Ahmed, Salvon"
18387,Carlos Hyde,11657,"Hyde, Carlos"
1001990,Alec Ingold,14420,"Ingold, Alec"
1844803,Ke'Shawn Vaughn,14810,"Vaughn, Ke'Shawn"
